region	chr	midPos	Nsites
(1569563,1613654)(3800000,3849999)(3800000,3850000)	chr1	3825000	44093	0.037370
(1613655,1656628)(3850000,3899999)(3850000,3900000)	chr1	3875000	42975	0.068022
(1656629,1697796)(3900000,3949999)(3900000,3950000)	chr1	3925000	41169	0.042771
(1697797,1740893)(3950000,3999999)(3950000,4000000)	chr1	3975000	43098	0.067367
(1740894,1784391)(4000000,4049999)(4000000,4050000)	chr1	4025000	43499	0.032372
(1784392,1830242)(4050000,4099999)(4050000,4100000)	chr1	4075000	45852	0.067330
(1830243,1870408)(4100000,4149999)(4100000,4150000)	chr1	4125000	40167	0.177153
(1870409,1911165)(4150000,4199999)(4150000,4200000)	chr1	4175000	40758	0.097088
(1911166,1955398)(4200000,4249999)(4200000,4250000)	chr1	4225000	44234	0.119544
(1955399,1997414)(4250000,4299999)(4250000,4300000)	chr1	4275000	42017	0.084440
(1997415,2040490)(4300000,4349999)(4300000,4350000)	chr1	4325000	43077	0.082056
(2040491,2084105)(4350000,4399999)(4350000,4400000)	chr1	4375000	43616	0.065303
(2084106,2127337)(4400000,4449999)(4400000,4450000)	chr1	4425000	43233	0.070214
(2127338,2170815)(4450000,4499999)(4450000,4500000)	chr1	4475000	43479	0.023756
(2170816,2210501)(4500000,4549999)(4500000,4550000)	chr1	4525000	39687	0.054871
(2210502,2250745)(4550000,4599999)(4550000,4600000)	chr1	4575000	40245	0.059982
(2250746,2288638)(4600000,4649999)(4600000,4650000)	chr1	4625000	37894	0.093431
(2288639,2331221)(4650000,4699999)(4650000,4700000)	chr1	4675000	42584	0.102518
(2331222,2373845)(4700000,4749999)(4700000,4750000)	chr1	4725000	42625	0.102112
(2373846,2418003)(4750000,4799998)(4750000,4800000)	chr1	4775000	44159	0.091702
(2418004,2462519)(4800001,4849999)(4800000,4850000)	chr1	4825000	44517	0.079133
(2462520,2505464)(4850000,4899999)(4850000,4900000)	chr1	4875000	42946	0.024308
(2505465,2550822)(4900000,4949999)(4900000,4950000)	chr1	4925000	45359	0.061655
(2550823,2595160)(4950000,4999999)(4950000,5000000)	chr1	4975000	44339	0.073930
(2595161,2640214)(5000000,5049999)(5000000,5050000)	chr1	5025000	45055	0.062411
(2640215,2683517)(5050000,5099999)(5050000,5100000)	chr1	5075000	43304	0.045890
(2683518,2724494)(5100000,5149999)(5100000,5150000)	chr1	5125000	40978	0.082701
(2724495,2767925)(5150000,5199999)(5150000,5200000)	chr1	5175000	43432	0.124023
(2767926,2813634)(5200000,5249999)(5200000,5250000)	chr1	5225000	45710	0.113412
(2813635,2858760)(5250000,5299999)(5250000,5300000)	chr1	5275000	45127	0.097333
(2858761,2899500)(5300000,5349941)(5300000,5350000)	chr1	5325000	40741	0.031023
(2899501,2942278)(5350000,5399955)(5350000,5400000)	chr1	5375000	42779	0.138439
(2942279,2984345)(5400190,5449999)(5400000,5450000)	chr1	5425000	42068	0.030346
(2984346,3026904)(5450000,5499999)(5450000,5500000)	chr1	5475000	42560	0.027694
(3026905,3071899)(5500000,5549999)(5500000,5550000)	chr1	5525000	44996	0.020503
(3071900,3112489)(5550000,5598676)(5550000,5600000)	chr1	5575000	40591	0.023694
(3112490,3157809)(5600043,5649999)(5600000,5650000)	chr1	5625000	45321	0.103104
(3157810,3202378)(5650000,5699999)(5650000,5700000)	chr1	5675000	44570	0.033636
(3202379,3239346)(5700000,5749999)(5700000,5750000)	chr1	5725000	36969	0.051055
(3239347,3282514)(5750000,5799999)(5750000,5800000)	chr1	5775000	43169	0.106989
(3282515,3326779)(5800000,5849999)(5800000,5850000)	chr1	5825000	44266	0.059215
(3326780,3371392)(5850000,5899999)(5850000,5900000)	chr1	5875000	44614	0.029491
(3371393,3417468)(5900000,5949999)(5900000,5950000)	chr1	5925000	46077	0.004077
(3417469,3464369)(5950000,5999999)(5950000,6000000)	chr1	5975000	46902	0.022049
(3464370,3502539)(6000000,6049999)(6000000,6050000)	chr1	6025000	38171	0.052715
(3502540,3548192)(6050000,6099999)(6050000,6100000)	chr1	6075000	45654	0.056921
(3548193,3592989)(6100000,6149999)(6100000,6150000)	chr1	6125000	44798	0.026425
(3592990,3637334)(6150000,6199999)(6150000,6200000)	chr1	6175000	44346	0.053165
(3637335,3683254)(6200000,6249999)(6200000,6250000)	chr1	6225000	45921	0.042236
(3683255,3727304)(6250000,6299999)(6250000,6300000)	chr1	6275000	44051	0.073280
(3727305,3771694)(6300001,6349999)(6300000,6350000)	chr1	6325000	44391	0.028310
(3771695,3818275)(6350000,6399999)(6350000,6400000)	chr1	6375000	46582	0.101439
(3818276,3863694)(6400000,6449999)(6400000,6450000)	chr1	6425000	45420	0.068389
(3863695,3909779)(6450000,6499999)(6450000,6500000)	chr1	6475000	46086	0.061139
(3909780,3954747)(6500000,6549999)(6500000,6550000)	chr1	6525000	44969	0.023486
(3954748,3997196)(6550000,6599999)(6550000,6600000)	chr1	6575000	42450	0.023716
(3997197,4039085)(6600000,6649999)(6600000,6650000)	chr1	6625000	41890	0.039933
(4039086,4082316)(6650000,6699999)(6650000,6700000)	chr1	6675000	43232	0.116228
(4082317,4127297)(6700000,6749999)(6700000,6750000)	chr1	6725000	44982	0.064145
(4127298,4171714)(6750000,6799998)(6750000,6800000)	chr1	6775000	44418	0.074847
(4171715,4216759)(6800000,6849999)(6800000,6850000)	chr1	6825000	45046	0.098936
(4216760,4261666)(6850000,6899999)(6850000,6900000)	chr1	6875000	44908	0.123107
(4261667,4305002)(6900000,6949999)(6900000,6950000)	chr1	6925000	43337	0.073476
(4305003,4349054)(6950000,6999999)(6950000,7000000)	chr1	6975000	44053	0.042022
(4349055,4392981)(7000000,7049999)(7000000,7050000)	chr1	7025000	43928	0.041833
(4392982,4438377)(7050000,7099999)(7050000,7100000)	chr1	7075000	45397	0.032103
(4438378,4483827)(7100000,7149999)(7100000,7150000)	chr1	7125000	45451	0.039198
(4483828,4528711)(7150001,7199999)(7150000,7200000)	chr1	7175000	44885	0.127626
(4528712,4572774)(7200000,7249999)(7200000,7250000)	chr1	7225000	44064	0.100083
(4572775,4615798)(7250000,7299999)(7250000,7300000)	chr1	7275000	43025	0.073574
(4615799,4660319)(7300000,7349999)(7300000,7350000)	chr1	7325000	44522	0.168177
(4660320,4704625)(7350000,7399996)(7350000,7400000)	chr1	7375000	44307	0.103163
(4704626,4748790)(7400006,7449999)(7400000,7450000)	chr1	7425000	44166	0.092070
(4748791,4794582)(7450000,7499999)(7450000,7500000)	chr1	7475000	45793	0.128440
(4794583,4836769)(7500000,7549999)(7500000,7550000)	chr1	7525000	42188	0.056028
(4836770,4876045)(7550004,7599999)(7550000,7600000)	chr1	7575000	39277	0.029413
(4876046,4919643)(7600000,7649998)(7600000,7650000)	chr1	7625000	43599	-0.005819
(4919644,4963997)(7650008,7699999)(7650000,7700000)	chr1	7675000	44355	0.013013
(4963998,5005299)(7700000,7749999)(7700000,7750000)	chr1	7725000	41303	0.018481
(5005300,5049207)(7750000,7799999)(7750000,7800000)	chr1	7775000	43909	0.029091
(5049208,5089762)(7800000,7849999)(7800000,7850000)	chr1	7825000	40556	0.088143
(5089763,5134216)(7850000,7899999)(7850000,7900000)	chr1	7875000	44455	0.049040
(5134217,5177976)(7900000,7949999)(7900000,7950000)	chr1	7925000	43761	0.051974
(5177977,5221911)(7950000,7999999)(7950000,8000000)	chr1	7975000	43936	0.074634
(5221912,5265497)(8000000,8049999)(8000000,8050000)	chr1	8025000	43587	0.068190
(5265498,5306907)(8050001,8099999)(8050000,8100000)	chr1	8075000	41411	0.127736
(5306908,5342150)(8100000,8140416)(8100000,8150000)	chr1	8125000	35244	0.103878
(5342151,5380116)(8156907,8199999)(8150000,8200000)	chr1	8175000	37967	0.082410
(5380117,5422886)(8200000,8249999)(8200000,8250000)	chr1	8225000	42771	0.088057
(5422887,5464983)(8250000,8299999)(8250000,8300000)	chr1	8275000	42098	0.054212
(5464984,5508184)(8300000,8349999)(8300000,8350000)	chr1	8325000	43202	0.074259
(5508185,5548333)(8350000,8394572)(8350000,8400000)	chr1	8375000	40150	0.008574
(5548334,5585635)(8400895,8449999)(8400000,8450000)	chr1	8425000	37303	0.002258
(5585636,5629045)(8450000,8499999)(8450000,8500000)	chr1	8475000	43411	0.015118
(5629046,5673047)(8500000,8549999)(8500000,8550000)	chr1	8525000	44003	0.066730
(5673048,5717976)(8550000,8599999)(8550000,8600000)	chr1	8575000	44930	0.021838
(5717977,5763392)(8600000,8649999)(8600000,8650000)	chr1	8625000	45417	-0.003586
(5763393,5807785)(8650000,8699870)(8650000,8700000)	chr1	8675000	44394	0.025553
(5807786,5851196)(8700202,8749999)(8700000,8750000)	chr1	8725000	43412	0.078499
(5851197,5894461)(8750000,8799999)(8750000,8800000)	chr1	8775000	43266	0.040624
(5894462,5937924)(8800000,8849999)(8800000,8850000)	chr1	8825000	43464	0.044491
(5937925,5982445)(8850000,8899999)(8850000,8900000)	chr1	8875000	44522	0.067996
(5982446,6025653)(8900000,8949999)(8900000,8950000)	chr1	8925000	43209	0.062892
(6025654,6046185)(8950000,8984767)(8950000,9000000)	chr1	8975000	20533	0.024339
(6046186,6051038)(9000674,9049999)(9000000,9050000)	chr1	9025000	4854	0.017402
(6051039,6093140)(9050000,9099999)(9050000,9100000)	chr1	9075000	42103	0.055454
(6093141,6138493)(9100000,9149999)(9100000,9150000)	chr1	9125000	45354	0.053614
(6138494,6185014)(9150000,9199999)(9150000,9200000)	chr1	9175000	46522	0.090534
(6185015,6224066)(9200000,9249999)(9200000,9250000)	chr1	9225000	39053	0.007643
(6224067,6268962)(9250000,9299999)(9250000,9300000)	chr1	9275000	44897	0.026683
(6268963,6311593)(9300000,9349999)(9300000,9350000)	chr1	9325000	42632	0.032964
(6311594,6351151)(9350000,9399999)(9350000,9400000)	chr1	9375000	39559	0.133308
(6351152,6396106)(9400000,9449999)(9400000,9450000)	chr1	9425000	44956	-0.002711
(6396107,6433450)(9450000,9499999)(9450000,9500000)	chr1	9475000	37345	-0.019883
(6433451,6477555)(9500000,9549999)(9500000,9550000)	chr1	9525000	44106	-0.011818
(6477556,6521555)(9550000,9599999)(9550000,9600000)	chr1	9575000	44001	0.002086
(6521556,6566314)(9600000,9649999)(9600000,9650000)	chr1	9625000	44760	0.005704
(6566315,6610095)(9650000,9699999)(9650000,9700000)	chr1	9675000	43782	0.052503
(6610096,6654261)(9700000,9749999)(9700000,9750000)	chr1	9725000	44167	0.032453
(6654262,6698810)(9750000,9799999)(9750000,9800000)	chr1	9775000	44550	0.082273
(6698811,6741725)(9800000,9849999)(9800000,9850000)	chr1	9825000	42916	0.036632
(6741726,6785441)(9850000,9899999)(9850000,9900000)	chr1	9875000	43717	0.057076
(6785442,6830610)(9900000,9949999)(9900000,9950000)	chr1	9925000	45170	0.054853
(6830611,6876764)(9950000,9999999)(9950000,10000000)	chr1	9975000	46155	0.044644
(6876765,6917235)(10000004,10049999)(10000000,10050000)	chr1	10025000	40472	0.070130
(6917236,6962559)(10050000,10099854)(10050000,10100000)	chr1	10075000	45325	0.050582
(6962560,7007776)(10100303,10149999)(10100000,10150000)	chr1	10125000	45218	0.060115
(7007777,7046613)(10150000,10199999)(10150000,10200000)	chr1	10175000	38838	0.053554
(7046614,7088560)(10200000,10249999)(10200000,10250000)	chr1	10225000	41948	0.032089
(7088561,7132600)(10250000,10299999)(10250000,10300000)	chr1	10275000	44041	0.016888
(7132601,7178715)(10300000,10349999)(10300000,10350000)	chr1	10325000	46116	0.036193
(7178716,7224272)(10350000,10399999)(10350000,10400000)	chr1	10375000	45558	0.112882
(7224273,7270063)(10400000,10449999)(10400000,10450000)	chr1	10425000	45792	0.074247
(7270064,7316549)(10450000,10499999)(10450000,10500000)	chr1	10475000	46487	0.062194
(7316550,7356247)(10500000,10549999)(10500000,10550000)	chr1	10525000	39699	0.062675
(7356248,7401599)(10550000,10599999)(10550000,10600000)	chr1	10575000	45353	0.092894
(7401600,7446795)(10600000,10649999)(10600000,10650000)	chr1	10625000	45197	0.139729
(7446796,7490720)(10650000,10699998)(10650000,10700000)	chr1	10675000	43926	0.137824
(7490721,7533072)(10700000,10749798)(10700000,10750000)	chr1	10725000	42353	0.030862
(7533073,7572035)(10750382,10799999)(10750000,10800000)	chr1	10775000	38964	0.032924
(7572036,7612591)(10800000,10849998)(10800000,10850000)	chr1	10825000	40557	0.039306
(7612592,7656444)(10850000,10899999)(10850000,10900000)	chr1	10875000	43854	0.094347
(7656445,7702040)(10900000,10949999)(10900000,10950000)	chr1	10925000	45597	0.068212
(7702041,7747868)(10950000,10999999)(10950000,11000000)	chr1	10975000	45829	0.138880
(7747869,7792631)(11000000,11049999)(11000000,11050000)	chr1	11025000	44764	0.052674
(7792632,7835963)(11050000,11099999)(11050000,11100000)	chr1	11075000	43333	0.132246
(7835964,7881594)(11100000,11149999)(11100000,11150000)	chr1	11125000	45632	0.057160
(7881595,7924845)(11150000,11199999)(11150000,11200000)	chr1	11175000	43252	0.070214
(7924846,7971432)(11200000,11249999)(11200000,11250000)	chr1	11225000	46588	0.038202
(7971433,8015539)(11250000,11299999)(11250000,11300000)	chr1	11275000	44108	0.034437
(8015540,8060633)(11300000,11349969)(11300000,11350000)	chr1	11325000	45095	0.070083
(8060634,8106417)(11350035,11399999)(11350000,11400000)	chr1	11375000	45785	0.096413
(8106418,8150543)(11400000,11449999)(11400000,11450000)	chr1	11425000	44127	0.026414
(8150544,8189374)(11450000,11499999)(11450000,11500000)	chr1	11475000	38832	0.041359
(8189375,8235633)(11500000,11549999)(11500000,11550000)	chr1	11525000	46260	0.037004
(8235634,8276381)(11550000,11599999)(11550000,11600000)	chr1	11575000	40749	0.021910
(8276382,8322505)(11600000,11649999)(11600000,11650000)	chr1	11625000	46125	0.031268
(8322506,8365290)(11650000,11699999)(11650000,11700000)	chr1	11675000	42786	0.056281
(8365291,8409130)(11700000,11749999)(11700000,11750000)	chr1	11725000	43841	0.021334
(8409131,8454097)(11750000,11799999)(11750000,11800000)	chr1	11775000	44968	0.012246
(8454098,8498682)(11800000,11849999)(11800000,11850000)	chr1	11825000	44586	0.078970
(8498683,8543079)(11850000,11899999)(11850000,11900000)	chr1	11875000	44398	0.032963
(8543080,8586403)(11900000,11949999)(11900000,11950000)	chr1	11925000	43325	0.048908
(8586404,8631525)(11950000,11999997)(11950000,12000000)	chr1	11975000	45123	0.031548
(8631526,8674480)(12000000,12049999)(12000000,12050000)	chr1	12025000	42956	0.014795
(8674481,8718508)(12050000,12099999)(12050000,12100000)	chr1	12075000	44029	0.031498
(8718509,8757213)(12100000,12149999)(12100000,12150000)	chr1	12125000	38706	0.005214
(8757214,8801763)(12150000,12199903)(12150000,12200000)	chr1	12175000	44551	0.026974
(8801764,8846004)(12200023,12249999)(12200000,12250000)	chr1	12225000	44242	0.026605
(8846005,8890314)(12250000,12299999)(12250000,12300000)	chr1	12275000	44311	0.029710
(8890315,8935001)(12300000,12349999)(12300000,12350000)	chr1	12325000	44688	0.028645
(8935002,8979531)(12350000,12399999)(12350000,12400000)	chr1	12375000	44531	0.019128
(8979532,9024567)(12400000,12449995)(12400000,12450000)	chr1	12425000	45037	0.031770
(9024568,9069466)(12450008,12499999)(12450000,12500000)	chr1	12475000	44900	0.041060
(9069467,9115266)(12500000,12549999)(12500000,12550000)	chr1	12525000	45801	0.046561
(9115267,9159787)(12550000,12599999)(12550000,12600000)	chr1	12575000	44522	0.068768
(9159788,9204971)(12600000,12649999)(12600000,12650000)	chr1	12625000	45185	0.191928
(9204972,9250115)(12650000,12699999)(12650000,12700000)	chr1	12675000	45145	0.129839
(9250116,9295160)(12700000,12749753)(12700000,12750000)	chr1	12725000	45046	0.034598
(9295161,9338708)(12750018,12799999)(12750000,12800000)	chr1	12775000	43549	0.057550
(9338709,9382690)(12800000,12849999)(12800000,12850000)	chr1	12825000	43983	0.028855
(9382691,9427276)(12850000,12899999)(12850000,12900000)	chr1	12875000	44587	0.022431
(9427277,9472098)(12900000,12949999)(12900000,12950000)	chr1	12925000	44823	0.008318
(9472099,9517543)(12950000,12999999)(12950000,13000000)	chr1	12975000	45446	0.011376
(9517544,9559425)(13000000,13049999)(13000000,13050000)	chr1	13025000	41883	0.019332
(9559426,9605918)(13050000,13099999)(13050000,13100000)	chr1	13075000	46494	0.027204
(9605919,9650627)(13100000,13149999)(13100000,13150000)	chr1	13125000	44710	0.084385
(9650628,9696383)(13150000,13199950)(13150000,13200000)	chr1	13175000	45757	0.032179
(9696384,9739274)(13200195,13249999)(13200000,13250000)	chr1	13225000	42892	0.032350
(9739275,9782929)(13250000,13299999)(13250000,13300000)	chr1	13275000	43656	0.021309
(9782930,9828051)(13300000,13349992)(13300000,13350000)	chr1	13325000	45123	0.017693
(9828052,9873775)(13350019,13399998)(13350000,13400000)	chr1	13375000	45725	0.062576
(9873776,9915418)(13400000,13449455)(13400000,13450000)	chr1	13425000	41644	0.043323
(9915419,9953925)(13450593,13499999)(13450000,13500000)	chr1	13475000	38508	0.046693
(9953926,9998217)(13500000,13549999)(13500000,13550000)	chr1	13525000	44293	0.044014
(9998218,10043752)(13550000,13599999)(13550000,13600000)	chr1	13575000	45536	0.052565
(10043753,10091506)(13600000,13649999)(13600000,13650000)	chr1	13625000	47755	0.087417
(10091507,10136947)(13650000,13699999)(13650000,13700000)	chr1	13675000	45442	0.085093
(10136948,10182923)(13700000,13749999)(13700000,13750000)	chr1	13725000	45977	0.041215
(10182924,10228181)(13750001,13799999)(13750000,13800000)	chr1	13775000	45259	0.063706
(10228182,10275281)(13800000,13849999)(13800000,13850000)	chr1	13825000	47101	0.071995
(10275282,10321685)(13850000,13899999)(13850000,13900000)	chr1	13875000	46405	0.046119
(10321686,10365153)(13900000,13949999)(13900000,13950000)	chr1	13925000	43469	0.025195
(10365154,10411311)(13950000,13999999)(13950000,14000000)	chr1	13975000	46159	0.053060
(10411312,10454980)(14000001,14049999)(14000000,14050000)	chr1	14025000	43670	0.022208
(10454981,10497516)(14050000,14099998)(14050000,14100000)	chr1	14075000	42537	0.009629
(10497517,10542013)(14100138,14149999)(14100000,14150000)	chr1	14125000	44498	0.018976
(10542014,10585503)(14150000,14199999)(14150000,14200000)	chr1	14175000	43491	0.005316
(10585504,10631420)(14200000,14249999)(14200000,14250000)	chr1	14225000	45918	0.058080
(10631421,10670715)(14250000,14299999)(14250000,14300000)	chr1	14275000	39296	0.047806
(10670716,10716305)(14300000,14349999)(14300000,14350000)	chr1	14325000	45591	0.018870
(10716306,10762130)(14350000,14399999)(14350000,14400000)	chr1	14375000	45826	0.025328
(10762131,10806908)(14400000,14449999)(14400000,14450000)	chr1	14425000	44779	0.210099
(10806909,10851676)(14450000,14499999)(14450000,14500000)	chr1	14475000	44769	0.079202
(10851677,10896589)(14500000,14549999)(14500000,14550000)	chr1	14525000	44914	0.067203
(10896590,10940972)(14550000,14599999)(14550000,14600000)	chr1	14575000	44384	0.077602
(10940973,10985511)(14600000,14649872)(14600000,14650000)	chr1	14625000	44540	0.114822
(10985512,11029971)(14650116,14699999)(14650000,14700000)	chr1	14675000	44461	0.046080
(11029972,11074559)(14700000,14749999)(14700000,14750000)	chr1	14725000	44589	0.061127
(11074560,11119869)(14750000,14799999)(14750000,14800000)	chr1	14775000	45311	0.059553
(11119870,11163757)(14800000,14849999)(14800000,14850000)	chr1	14825000	43889	-0.006466
(11163758,11208409)(14850000,14899999)(14850000,14900000)	chr1	14875000	44653	0.002364
(11208410,11254217)(14900000,14949999)(14900000,14950000)	chr1	14925000	45809	-0.017231
(11254218,11299928)(14950000,14999999)(14950000,15000000)	chr1	14975000	45712	0.029417
(11299929,11345776)(15000000,15049999)(15000000,15050000)	chr1	15025000	45849	0.056476
(11345777,11391780)(15050000,15099999)(15050000,15100000)	chr1	15075000	46005	0.052172
(11391781,11437791)(15100000,15149999)(15100000,15150000)	chr1	15125000	46012	0.107436
(11437792,11483022)(15150000,15199999)(15150000,15200000)	chr1	15175000	45232	0.122657
(11483023,11527820)(15200000,15249999)(15200000,15250000)	chr1	15225000	44799	0.103359
(11527821,11574451)(15250000,15299999)(15250000,15300000)	chr1	15275000	46632	0.109593
(11574452,11619718)(15300000,15349999)(15300000,15350000)	chr1	15325000	45268	0.089345
(11619719,11664743)(15350000,15399999)(15350000,15400000)	chr1	15375000	45026	0.160458
(11664744,11708880)(15400000,15449972)(15400000,15450000)	chr1	15425000	44138	0.196547
(11708881,11754307)(15450273,15499999)(15450000,15500000)	chr1	15475000	45428	0.161127
(11754308,11800704)(15500000,15549999)(15500000,15550000)	chr1	15525000	46398	0.239795
(11800705,11845004)(15550000,15599999)(15550000,15600000)	chr1	15575000	44301	0.160100
(11845005,11888325)(15600000,15649999)(15600000,15650000)	chr1	15625000	43322	0.233252
(11888326,11932476)(15650000,15699999)(15650000,15700000)	chr1	15675000	44152	0.209783
(11932477,11978253)(15700000,15749999)(15700000,15750000)	chr1	15725000	45778	0.174324
(11978254,12023535)(15750000,15799999)(15750000,15800000)	chr1	15775000	45283	0.059329
(12023536,12062005)(15800000,15849999)(15800000,15850000)	chr1	15825000	38471	0.087613
(12062006,12103822)(15850000,15899999)(15850000,15900000)	chr1	15875000	41818	0.020502
(12103823,12148576)(15900000,15949999)(15900000,15950000)	chr1	15925000	44755	0.066224
(12148577,12192747)(15950000,15999999)(15950000,16000000)	chr1	15975000	44172	0.130440
(12192748,12237920)(16000000,16049999)(16000000,16050000)	chr1	16025000	45174	0.061935
(12237921,12283478)(16050000,16099999)(16050000,16100000)	chr1	16075000	45559	0.040882
(12283479,12329019)(16100000,16149999)(16100000,16150000)	chr1	16125000	45542	0.048205
(12329020,12356289)(16150000,16183957)(16150000,16200000)	chr1	16175000	27271	0.010727
(12356290,12374200)(16201681,16249997)(16200000,16250000)	chr1	16225000	17912	0.037219
