region	chr	midPos	Nsites
(1804929,1854177)(3150000,3199999)(3150000,3200000)	chr1	3175000	49250	0.103767
(1854178,1901397)(3200000,3247661)(3200000,3250000)	chr1	3225000	47221	0.071348
(1901398,1948246)(3250060,3299999)(3250000,3300000)	chr1	3275000	46850	0.071685
(1948247,1997625)(3300000,3349999)(3300000,3350000)	chr1	3325000	49380	0.067748
(1997626,2047431)(3350000,3399999)(3350000,3400000)	chr1	3375000	49807	0.087328
(2047432,2097166)(3400000,3449999)(3400000,3450000)	chr1	3425000	49736	0.083383
(2097167,2146251)(3450000,3499999)(3450000,3500000)	chr1	3475000	49086	0.066356
(2146252,2195125)(3500000,3549999)(3500000,3550000)	chr1	3525000	48875	0.030717
(2195126,2244400)(3550000,3599999)(3550000,3600000)	chr1	3575000	49276	0.164060
(2244401,2294056)(3600000,3649999)(3600000,3650000)	chr1	3625000	49657	0.105345
(2294057,2343635)(3650000,3699999)(3650000,3700000)	chr1	3675000	49580	0.079254
(2343636,2393397)(3700000,3749999)(3700000,3750000)	chr1	3725000	49763	0.177448
(2393398,2443149)(3750000,3799999)(3750000,3800000)	chr1	3775000	49753	0.206130
(2443150,2493019)(3800000,3849999)(3800000,3850000)	chr1	3825000	49871	0.168606
(2493020,2542662)(3850000,3899999)(3850000,3900000)	chr1	3875000	49644	0.062672
(2542663,2592307)(3900000,3949999)(3900000,3950000)	chr1	3925000	49646	0.087752
(2592308,2640800)(3950000,3999999)(3950000,4000000)	chr1	3975000	48494	0.059546
(2640801,2690605)(4000000,4049999)(4000000,4050000)	chr1	4025000	49806	0.052455
(2690606,2740501)(4050000,4099999)(4050000,4100000)	chr1	4075000	49897	0.026180
(2740502,2788797)(4100000,4149999)(4100000,4150000)	chr1	4125000	48297	0.071791
(2788798,2837607)(4150000,4199999)(4150000,4200000)	chr1	4175000	48811	0.066198
(2837608,2886860)(4200000,4249999)(4200000,4250000)	chr1	4225000	49254	0.031061
(2886861,2935950)(4250000,4299999)(4250000,4300000)	chr1	4275000	49091	0.029087
(2935951,2985670)(4300000,4349999)(4300000,4350000)	chr1	4325000	49721	0.056843
(2985671,3035128)(4350000,4399999)(4350000,4400000)	chr1	4375000	49459	0.005597
(3035129,3084706)(4400000,4449999)(4400000,4450000)	chr1	4425000	49579	0.033313
(3084707,3134527)(4450000,4499999)(4450000,4500000)	chr1	4475000	49822	0.049572
(3134528,3177924)(4500000,4549999)(4500000,4550000)	chr1	4525000	43398	0.044545
(3177925,3223317)(4550000,4599999)(4550000,4600000)	chr1	4575000	45394	0.043451
(3223318,3266186)(4600000,4649999)(4600000,4650000)	chr1	4625000	42870	0.018545
(3266187,3315502)(4650000,4699999)(4650000,4700000)	chr1	4675000	49317	0.044770
(3315503,3364928)(4700000,4749999)(4700000,4750000)	chr1	4725000	49427	0.064764
(3364929,3414725)(4750000,4799999)(4750000,4800000)	chr1	4775000	49798	0.098480
(3414726,3463898)(4800000,4849999)(4800000,4850000)	chr1	4825000	49174	0.100847
(3463899,3513510)(4850000,4899999)(4850000,4900000)	chr1	4875000	49613	0.077456
(3513511,3563190)(4900000,4949999)(4900000,4950000)	chr1	4925000	49681	0.059391
(3563191,3612932)(4950000,4999999)(4950000,5000000)	chr1	4975000	49743	0.052949
(3612933,3662208)(5000000,5049999)(5000000,5050000)	chr1	5025000	49277	0.060101
(3662209,3711860)(5050000,5099999)(5050000,5100000)	chr1	5075000	49653	0.062758
(3711861,3760172)(5100000,5149999)(5100000,5150000)	chr1	5125000	48313	0.121006
(3760173,3809026)(5150000,5199999)(5150000,5200000)	chr1	5175000	48855	0.019106
(3809027,3858749)(5200000,5249999)(5200000,5250000)	chr1	5225000	49724	0.028418
(3858750,3908259)(5250000,5299999)(5250000,5300000)	chr1	5275000	49511	0.084983
(3908260,3954095)(5300000,5349999)(5300000,5350000)	chr1	5325000	45837	0.074394
(3954096,4003129)(5350000,5399999)(5350000,5400000)	chr1	5375000	49035	0.083514
(4003130,4052612)(5400000,5449999)(5400000,5450000)	chr1	5425000	49484	0.040819
(4052613,4102350)(5450000,5499999)(5450000,5500000)	chr1	5475000	49739	0.062337
(4102351,4152321)(5500000,5549999)(5500000,5550000)	chr1	5525000	49972	0.049673
(4152322,4200680)(5550000,5599999)(5550000,5600000)	chr1	5575000	48360	0.028682
(4200681,4250604)(5600000,5649999)(5600000,5650000)	chr1	5625000	49925	0.182255
(4250605,4300317)(5650000,5699999)(5650000,5700000)	chr1	5675000	49714	0.214607
(4300318,4344711)(5700000,5749999)(5700000,5750000)	chr1	5725000	44395	0.124302
(4344712,4393811)(5750000,5799999)(5750000,5800000)	chr1	5775000	49101	0.087007
(4393812,4443256)(5800000,5849999)(5800000,5850000)	chr1	5825000	49446	0.060411
(4443257,4492246)(5850000,5899999)(5850000,5900000)	chr1	5875000	48991	0.084169
(4492247,4542060)(5900000,5949999)(5900000,5950000)	chr1	5925000	49815	0.021675
(4542061,4591963)(5950000,5999999)(5950000,6000000)	chr1	5975000	49904	0.083912
(4591964,4633941)(6000000,6049999)(6000000,6050000)	chr1	6025000	41979	0.078140
(4633942,4683120)(6050000,6099999)(6050000,6100000)	chr1	6075000	49180	0.071658
(4683121,4732925)(6100000,6149999)(6100000,6150000)	chr1	6125000	49806	0.105525
(4732926,4782613)(6150000,6199999)(6150000,6200000)	chr1	6175000	49689	0.104507
(4782614,4832410)(6200000,6249999)(6200000,6250000)	chr1	6225000	49798	0.055371
(4832411,4882183)(6250000,6299999)(6250000,6300000)	chr1	6275000	49774	0.086382
(4882184,4931684)(6300000,6349999)(6300000,6350000)	chr1	6325000	49502	0.062140
(4931685,4981434)(6350000,6399999)(6350000,6400000)	chr1	6375000	49751	0.055882
(4981435,5030740)(6400000,6449999)(6400000,6450000)	chr1	6425000	49307	0.016342
(5030741,5080629)(6450000,6499999)(6450000,6500000)	chr1	6475000	49890	0.066000
(5080630,5130530)(6500000,6549999)(6500000,6550000)	chr1	6525000	49902	0.027328
(5130531,5180118)(6550000,6599999)(6550000,6600000)	chr1	6575000	49589	0.026929
(5180119,5228001)(6600000,6649999)(6600000,6650000)	chr1	6625000	47884	0.048769
(5228002,5277789)(6650000,6699999)(6650000,6700000)	chr1	6675000	49789	0.042179
(5277790,5327699)(6700000,6749999)(6700000,6750000)	chr1	6725000	49911	0.053143
(5327700,5377251)(6750000,6799999)(6750000,6800000)	chr1	6775000	49553	0.142316
(5377252,5426857)(6800000,6849999)(6800000,6850000)	chr1	6825000	49607	0.119682
(5426858,5476292)(6850000,6899999)(6850000,6900000)	chr1	6875000	49436	0.100842
(5476293,5525695)(6900000,6949999)(6900000,6950000)	chr1	6925000	49404	0.120353
(5525696,5575634)(6950000,6999999)(6950000,7000000)	chr1	6975000	49940	0.151431
(5575635,5625160)(7000000,7049999)(7000000,7050000)	chr1	7025000	49527	0.099547
(5625161,5675053)(7050000,7099999)(7050000,7100000)	chr1	7075000	49894	0.060233
(5675054,5724712)(7100000,7149999)(7100000,7150000)	chr1	7125000	49660	0.079772
(5724713,5774364)(7150000,7199999)(7150000,7200000)	chr1	7175000	49653	0.062181
(5774365,5824000)(7200000,7249999)(7200000,7250000)	chr1	7225000	49637	0.032198
(5824001,5873634)(7250000,7299999)(7250000,7300000)	chr1	7275000	49635	0.057166
(5873635,5923181)(7300000,7349999)(7300000,7350000)	chr1	7325000	49548	0.108104
(5923182,5972832)(7350000,7399999)(7350000,7400000)	chr1	7375000	49652	0.071331
(5972833,6022009)(7400000,7449999)(7400000,7450000)	chr1	7425000	49178	0.145312
(6022010,6071599)(7450000,7499999)(7450000,7500000)	chr1	7475000	49591	0.203579
(6071600,6120621)(7500000,7549999)(7500000,7550000)	chr1	7525000	49023	0.028581
(6120622,6163791)(7550000,7599999)(7550000,7600000)	chr1	7575000	43171	0.077795
(6163792,6211383)(7600000,7649999)(7600000,7650000)	chr1	7625000	47593	0.005276
(6211384,6260936)(7650000,7699999)(7650000,7700000)	chr1	7675000	49554	0.015840
(6260937,6307647)(7700000,7749999)(7700000,7750000)	chr1	7725000	46712	0.029153
(6307648,6356732)(7750000,7799999)(7750000,7800000)	chr1	7775000	49086	0.016766
(6356733,6404943)(7800000,7849999)(7800000,7850000)	chr1	7825000	48212	0.055212
(6404944,6454577)(7850000,7899999)(7850000,7900000)	chr1	7875000	49635	0.050435
(6454578,6504014)(7900000,7949999)(7900000,7950000)	chr1	7925000	49438	0.190706
(6504015,6553454)(7950000,7999999)(7950000,8000000)	chr1	7975000	49441	0.109114
(6553455,6602757)(8000000,8049999)(8000000,8050000)	chr1	8025000	49304	0.180968
(6602758,6651814)(8050000,8099999)(8050000,8100000)	chr1	8075000	49058	0.285670
(6651815,6692252)(8100000,8142329)(8100000,8150000)	chr1	8125000	40439	0.168874
(6692253,6734792)(8155988,8199999)(8150000,8200000)	chr1	8175000	42541	0.222188
(6734793,6784173)(8200000,8249999)(8200000,8250000)	chr1	8225000	49382	0.133235
(6784174,6833749)(8250000,8299999)(8250000,8300000)	chr1	8275000	49577	0.125970
(6833750,6883311)(8300000,8349999)(8300000,8350000)	chr1	8325000	49563	0.169890
(6883312,6927580)(8350000,8394594)(8350000,8400000)	chr1	8375000	44270	0.036659
(6927581,6970304)(8400807,8449999)(8400000,8450000)	chr1	8425000	42725	0.023787
(6970305,7019651)(8450000,8499999)(8450000,8500000)	chr1	8475000	49348	0.026594
(7019652,7069224)(8500000,8549999)(8500000,8550000)	chr1	8525000	49574	0.209265
(7069225,7119058)(8550000,8599999)(8550000,8600000)	chr1	8575000	49835	0.187312
(7119059,7168724)(8600000,8649999)(8600000,8650000)	chr1	8625000	49667	0.243262
(7168725,7218055)(8650000,8699912)(8650000,8700000)	chr1	8675000	49332	0.317922
(7218056,7267466)(8700080,8749999)(8700000,8750000)	chr1	8725000	49412	0.011861
(7267467,7316056)(8750000,8799999)(8750000,8800000)	chr1	8775000	48591	-0.010762
(7316057,7365138)(8800000,8849999)(8800000,8850000)	chr1	8825000	49083	0.003566
(7365139,7414865)(8850000,8899999)(8850000,8900000)	chr1	8875000	49728	0.028697
(7414866,7464399)(8900000,8949999)(8900000,8950000)	chr1	8925000	49535	0.022697
(7464400,7492419)(8950000,8984814)(8950000,9000000)	chr1	8975000	28021	0.048112
(7492420,7498749)(9000832,9049999)(9000000,9050000)	chr1	9025000	6331	0.056539
(7498750,7548184)(9050000,9099999)(9050000,9100000)	chr1	9075000	49436	0.024850
(7548185,7597760)(9100000,9149999)(9100000,9150000)	chr1	9125000	49577	0.104221
(7597761,7647500)(9150000,9199999)(9150000,9200000)	chr1	9175000	49741	0.099884
(7647501,7690254)(9200000,9249999)(9200000,9250000)	chr1	9225000	42755	0.060998
(7690255,7740053)(9250000,9299999)(9250000,9300000)	chr1	9275000	49800	0.107379
(7740054,7789572)(9300000,9349999)(9300000,9350000)	chr1	9325000	49520	0.076008
(7789573,7832816)(9350000,9399999)(9350000,9400000)	chr1	9375000	43245	0.052208
(7832817,7882607)(9400000,9449999)(9400000,9450000)	chr1	9425000	49792	0.040674
(7882608,7925660)(9450000,9499999)(9450000,9500000)	chr1	9475000	43054	0.011216
(7925661,7975357)(9500000,9549999)(9500000,9550000)	chr1	9525000	49698	0.039846
(7975358,8024509)(9550000,9599999)(9550000,9600000)	chr1	9575000	49153	0.033022
(8024510,8073531)(9600000,9649999)(9600000,9650000)	chr1	9625000	49023	0.051522
(8073532,8122914)(9650000,9699999)(9650000,9700000)	chr1	9675000	49384	0.108246
(8122915,8172792)(9700000,9749999)(9700000,9750000)	chr1	9725000	49879	0.088455
(8172793,8221955)(9750000,9799999)(9750000,9800000)	chr1	9775000	49164	0.105357
(8221956,8270750)(9800000,9849999)(9800000,9850000)	chr1	9825000	48796	0.042292
(8270751,8319959)(9850000,9899999)(9850000,9900000)	chr1	9875000	49210	0.093879
(8319960,8369483)(9900000,9949999)(9900000,9950000)	chr1	9925000	49525	0.077435
(8369484,8419277)(9950000,9999999)(9950000,10000000)	chr1	9975000	49795	0.044226
(8419278,8462681)(10000000,10049999)(10000000,10050000)	chr1	10025000	43405	0.031792
(8462682,8512390)(10050000,10099970)(10050000,10100000)	chr1	10075000	49710	0.032188
(8512391,8561974)(10100303,10149999)(10100000,10150000)	chr1	10125000	49585	0.017886
(8561975,8605534)(10150000,10199999)(10150000,10200000)	chr1	10175000	43561	0.035859
(8605535,8654347)(10200000,10249999)(10200000,10250000)	chr1	10225000	48814	0.115082
(8654348,8704072)(10250000,10299999)(10250000,10300000)	chr1	10275000	49726	0.048237
(8704073,8753911)(10300000,10349999)(10300000,10350000)	chr1	10325000	49840	0.090600
(8753912,8803614)(10350000,10399999)(10350000,10400000)	chr1	10375000	49704	0.050491
(8803615,8853376)(10400000,10449999)(10400000,10450000)	chr1	10425000	49763	-0.009290
(8853377,8903039)(10450000,10499999)(10450000,10500000)	chr1	10475000	49664	-0.003724
(8903040,8946093)(10500000,10549999)(10500000,10550000)	chr1	10525000	43055	0.033258
(8946094,8995922)(10550000,10599999)(10550000,10600000)	chr1	10575000	49830	0.022735
(8995923,9045527)(10600000,10649999)(10600000,10650000)	chr1	10625000	49606	0.051704
(9045528,9095219)(10650000,10699999)(10650000,10700000)	chr1	10675000	49693	0.090648
(9095220,9144537)(10700000,10749949)(10700000,10750000)	chr1	10725000	49319	0.061978
(9144538,9187513)(10750334,10799999)(10750000,10800000)	chr1	10775000	42977	0.043149
(9187514,9235511)(10800000,10849999)(10800000,10850000)	chr1	10825000	47999	0.020746
(9235512,9284751)(10850000,10899999)(10850000,10900000)	chr1	10875000	49241	0.030806
(9284752,9334539)(10900000,10949999)(10900000,10950000)	chr1	10925000	49789	0.084052
(9334540,9383863)(10950000,10999999)(10950000,11000000)	chr1	10975000	49325	0.106009
(9383864,9433477)(11000000,11049999)(11000000,11050000)	chr1	11025000	49615	0.079583
(9433478,9482208)(11050000,11099999)(11050000,11100000)	chr1	11075000	48732	0.139029
(9482209,9531905)(11100000,11149999)(11100000,11150000)	chr1	11125000	49698	0.080050
(9531906,9580966)(11150000,11199999)(11150000,11200000)	chr1	11175000	49062	0.083762
(9580967,9630820)(11200000,11249999)(11200000,11250000)	chr1	11225000	49855	0.042986
(9630821,9679920)(11250000,11299999)(11250000,11300000)	chr1	11275000	49101	0.042063
(9679921,9729246)(11300000,11349999)(11300000,11350000)	chr1	11325000	49327	0.070857
(9729247,9779113)(11350000,11399999)(11350000,11400000)	chr1	11375000	49868	0.067104
(9779114,9828380)(11400000,11449999)(11400000,11450000)	chr1	11425000	49268	0.048571
(9828381,9872420)(11450000,11499999)(11450000,11500000)	chr1	11475000	44041	0.030227
(9872421,9922248)(11500000,11549999)(11500000,11550000)	chr1	11525000	49829	0.015993
(9922249,9968191)(11550000,11599999)(11550000,11600000)	chr1	11575000	45944	-0.003843
(9968192,10017949)(11600000,11649999)(11600000,11650000)	chr1	11625000	49759	0.051602
(10017950,10067527)(11650000,11699999)(11650000,11700000)	chr1	11675000	49579	0.154180
(10067528,10117056)(11700000,11749999)(11700000,11750000)	chr1	11725000	49530	0.105749
(10117057,10166498)(11750000,11799999)(11750000,11800000)	chr1	11775000	49443	0.151515
(10166499,10216105)(11800000,11849999)(11800000,11850000)	chr1	11825000	49608	0.162292
(10216106,10265544)(11850000,11899999)(11850000,11900000)	chr1	11875000	49440	0.156754
(10265545,10315051)(11900000,11949999)(11900000,11950000)	chr1	11925000	49508	0.113211
(10315052,10364915)(11950000,11999999)(11950000,12000000)	chr1	11975000	49865	0.080740
(10364916,10414110)(12000000,12049999)(12000000,12050000)	chr1	12025000	49196	0.155502
(10414111,10463955)(12050000,12099999)(12050000,12100000)	chr1	12075000	49846	0.142883
(10463956,10509921)(12100000,12149999)(12100000,12150000)	chr1	12125000	45967	0.115058
(10509922,10559762)(12150000,12199999)(12150000,12200000)	chr1	12175000	49842	0.060992
(10559763,10609418)(12200000,12249999)(12200000,12250000)	chr1	12225000	49657	0.141505
(10609419,10659152)(12250000,12299999)(12250000,12300000)	chr1	12275000	49735	0.068828
(10659153,10708958)(12300000,12349999)(12300000,12350000)	chr1	12325000	49807	0.061812
(10708959,10758424)(12350000,12399999)(12350000,12400000)	chr1	12375000	49467	0.053409
(10758425,10808230)(12400000,12449999)(12400000,12450000)	chr1	12425000	49807	0.138077
(10808231,10858099)(12450000,12499999)(12450000,12500000)	chr1	12475000	49870	0.154839
(10858100,10907717)(12500000,12549999)(12500000,12550000)	chr1	12525000	49619	0.073489
(10907718,10957055)(12550000,12599999)(12550000,12600000)	chr1	12575000	49339	0.051836
(10957056,11006813)(12600000,12649999)(12600000,12650000)	chr1	12625000	49759	0.052891
(11006814,11056438)(12650000,12699999)(12650000,12700000)	chr1	12675000	49626	0.020972
(11056439,11106221)(12700000,12749999)(12700000,12750000)	chr1	12725000	49784	0.007738
(11106222,11155083)(12750000,12799999)(12750000,12800000)	chr1	12775000	48863	0.222129
(11155084,11203833)(12800000,12849999)(12800000,12850000)	chr1	12825000	48751	0.118864
(11203834,11253263)(12850000,12899999)(12850000,12900000)	chr1	12875000	49431	0.064570
(11253264,11303044)(12900000,12949999)(12900000,12950000)	chr1	12925000	49782	0.022702
(11303045,11352708)(12950000,12999999)(12950000,13000000)	chr1	12975000	49665	0.091078
(11352709,11401308)(13000000,13049999)(13000000,13050000)	chr1	13025000	48601	0.136309
(11401309,11451154)(13050000,13099999)(13050000,13100000)	chr1	13075000	49847	0.039929
(11451155,11501042)(13100000,13149999)(13100000,13150000)	chr1	13125000	49889	0.123510
(11501043,11550255)(13150000,13199999)(13150000,13200000)	chr1	13175000	49214	0.075821
(11550256,11599438)(13200000,13249999)(13200000,13250000)	chr1	13225000	49184	0.076372
(11599439,11648605)(13250000,13299999)(13250000,13300000)	chr1	13275000	49168	0.032920
(11648606,11698331)(13300000,13349999)(13300000,13350000)	chr1	13325000	49727	0.002233
(11698332,11748288)(13350000,13399999)(13350000,13400000)	chr1	13375000	49958	0.003717
(11748289,11796377)(13400000,13449618)(13400000,13450000)	chr1	13425000	48090	0.014820
(11796378,11839927)(13450570,13499999)(13450000,13500000)	chr1	13475000	43551	0.126014
(11839928,11889785)(13500000,13549999)(13500000,13550000)	chr1	13525000	49859	0.048926
(11889786,11939651)(13550000,13599999)(13550000,13600000)	chr1	13575000	49867	0.041968
(11939652,11989639)(13600000,13649999)(13600000,13650000)	chr1	13625000	49989	0.086768
(11989640,12039451)(13650000,13699999)(13650000,13700000)	chr1	13675000	49813	0.029255
(12039452,12089238)(13700000,13749999)(13700000,13750000)	chr1	13725000	49788	0.074897
(12089239,12138939)(13750000,13799999)(13750000,13800000)	chr1	13775000	49702	0.078012
(12138940,12188002)(13800000,13849999)(13800000,13850000)	chr1	13825000	49064	0.118983
(12188003,12237148)(13850000,13899999)(13850000,13900000)	chr1	13875000	49147	0.016538
(12237149,12286419)(13900000,13949999)(13900000,13950000)	chr1	13925000	49272	0.009065
(12286420,12336014)(13950000,13999999)(13950000,14000000)	chr1	13975000	49596	0.045261
(12336015,12385784)(14000000,14049999)(14000000,14050000)	chr1	14025000	49771	0.059507
(12385785,12433754)(14050000,14099999)(14050000,14100000)	chr1	14075000	47971	-0.014293
(12433755,12483330)(14100000,14149999)(14100000,14150000)	chr1	14125000	49577	-0.017052
(12483331,12532194)(14150000,14199999)(14150000,14200000)	chr1	14175000	48865	-0.002377
(12532195,12581997)(14200000,14249999)(14200000,14250000)	chr1	14225000	49804	0.103205
(12581998,12625235)(14250000,14299999)(14250000,14300000)	chr1	14275000	43239	0.050118
(12625236,12675154)(14300000,14349999)(14300000,14350000)	chr1	14325000	49920	0.030986
(12675155,12725031)(14350000,14399999)(14350000,14400000)	chr1	14375000	49878	0.051478
(12725032,12774671)(14400000,14449999)(14400000,14450000)	chr1	14425000	49641	0.195670
(12774672,12824490)(14450000,14499999)(14450000,14500000)	chr1	14475000	49820	0.035868
(12824491,12873321)(14500000,14549999)(14500000,14550000)	chr1	14525000	48832	0.051927
(12873322,12923073)(14550000,14599999)(14550000,14600000)	chr1	14575000	49753	0.042193
(12923074,12972547)(14600000,14649999)(14600000,14650000)	chr1	14625000	49475	-0.003825
(12972548,13022182)(14650000,14699999)(14650000,14700000)	chr1	14675000	49636	0.008097
(13022183,13071988)(14700000,14749999)(14700000,14750000)	chr1	14725000	49807	0.071129
(13071989,13121481)(14750000,14799999)(14750000,14800000)	chr1	14775000	49494	0.041275
(13121482,13170396)(14800000,14849999)(14800000,14850000)	chr1	14825000	48916	0.030704
(13170397,13220263)(14850000,14899999)(14850000,14900000)	chr1	14875000	49868	0.065706
(13220264,13269929)(14900000,14949999)(14900000,14950000)	chr1	14925000	49667	0.047877
(13269930,13319894)(14950000,14999999)(14950000,15000000)	chr1	14975000	49966	0.104734
(13319895,13369693)(15000000,15049999)(15000000,15050000)	chr1	15025000	49800	0.072847
(13369694,13419467)(15050000,15099999)(15050000,15100000)	chr1	15075000	49775	0.004834
(13419468,13468515)(15100000,15149999)(15100000,15150000)	chr1	15125000	49049	0.042626
(13468516,13518356)(15150000,15199999)(15150000,15200000)	chr1	15175000	49842	0.045412
(13518357,13567028)(15200000,15249999)(15200000,15250000)	chr1	15225000	48673	0.129663
(13567029,13616989)(15250000,15299999)(15250000,15300000)	chr1	15275000	49962	0.053932
(13616990,13666773)(15300000,15349999)(15300000,15350000)	chr1	15325000	49785	0.037899
(13666774,13716446)(15350000,15399999)(15350000,15400000)	chr1	15375000	49674	0.075845
(13716447,13765370)(15400000,15449999)(15400000,15450000)	chr1	15425000	48925	0.042850
(13765371,13814734)(15450000,15499999)(15450000,15500000)	chr1	15475000	49365	0.049472
(13814735,13864490)(15500000,15549999)(15500000,15550000)	chr1	15525000	49757	0.113234
(13864491,13914363)(15550000,15599999)(15550000,15600000)	chr1	15575000	49874	0.117673
(13914364,13963728)(15600000,15649999)(15600000,15650000)	chr1	15625000	49366	0.131093
(13963729,14012632)(15650000,15699999)(15650000,15700000)	chr1	15675000	48905	0.233173
(14012633,14062197)(15700000,15749999)(15700000,15750000)	chr1	15725000	49566	0.231125
(14062198,14111976)(15750000,15799999)(15750000,15800000)	chr1	15775000	49780	0.082761
(14111977,14154861)(15800000,15849999)(15800000,15850000)	chr1	15825000	42886	0.107577
(14154862,14203496)(15850000,15899999)(15850000,15900000)	chr1	15875000	48636	0.036365
(14203497,14253413)(15900000,15949999)(15900000,15950000)	chr1	15925000	49918	0.040297
(14253414,14303370)(15950000,15999999)(15950000,16000000)	chr1	15975000	49958	0.059470
(14303371,14353155)(16000000,16049999)(16000000,16050000)	chr1	16025000	49786	0.030687
(14353156,14402970)(16050000,16099999)(16050000,16100000)	chr1	16075000	49816	0.013593
(14402971,14452652)(16100000,16149999)(16100000,16150000)	chr1	16125000	49683	0.053359
